Address,Parcel Number,City,Zip,Sold Price,Close Date,Sq Ft,Lot SF,Beds,Baths,Yr Built,Stories,Garage,Community,Builder,Model,Type,DOM,$/SF,Notes
412 Tanglewood Crest Dr,312-18-0042,Austin,78737,589000,3/14/2025,3124,7200,4,3.5,2021,2,2,Belterra,Meritage Homes,Crestview,SFD,12,188.54,Corner lot; upgraded kitchen package
208 Ridgeline Pass,312-18-0091,Austin,78737,625000,4/2/2025,3310,6800,4,3,2022,2,2,Belterra,Highland Homes,The Reserve,SFD,8,188.82,Backs to greenbelt
1044 Copper Canyon Ln,312-19-0017,Dripping Springs,78620,548000,2/28/2025,2950,8100,3,2.5,2020,1,2,Headwaters,Newmark Homes,Juniper,SFD,21,185.76,
751 Saddleback Ridge Rd,312-19-0083,Dripping Springs,78620,710000,3/22/2025,3875,9500,5,4,2023,2,3,Headwaters,Toll Brothers,Aspen,SFD,5,183.23,Premium view lot; golf course adjacent
90 Limestone Creek Blvd,312-20-0004,Bee Cave,78738,775000,1/15/2025,4100,7600,5,4.5,2022,2,3,Falconhead West,David Weekley,Heritage,SFD,9,189.02,Seller concession $8500
3312 Prairie Vista Way,312-20-0055,Bee Cave,78738,490000,4/18/2025,2680,5400,3,2,2019,1,2,Falconhead West,Gehan Homes,Monarch,SFD,33,182.84,Smaller floor plan; priced competitively
6601 Covered Bridge Dr,312-21-0009,Austin,78748,412000,12/10/2023,2250,4800,3,2,2008,1,2,Bear Creek Estates,Perry Homes,1800W,SFD,45,183.11,Older build; resale only
2104 Rolling Meadow Trl,312-21-0041,Austin,78748,535000,3/5/2025,2920,6100,4,3,2021,2,2,Bear Creek Estates,Perry Homes,2500,SFD,14,183.22,
517 Blue Heron Ct,312-22-0006,Lakeway,78734,865000,2/10/2025,4450,8900,5,4.5,2022,2,3,Rough Hollow,Scott Felder,Waterfront Elite,SFD,11,194.38,Cul de sac; lake views
1820 Granite Shoals Dr,312-22-0078,Lakeway,78734,920000,3/30/2025,4780,10200,5,5,2023,2,3,Rough Hollow,Drees Custom,Sonoma,SFD,6,192.47,Premium hillside lot
4403 Copper Mesa Dr,,Manor,78653,398000,4/1/2025,2300,5200,3,2,2020,1,2,Whisper Valley,GFO Homes,2300A,SFD,19,173.04,APN not provided by broker
225 Thornberry Ridge,312-23-0012,Pflugerville,78660,449000,3/18/2025,2600,5800,4,2.5,2021,2,2,Blackhawk,DR Horton,2600,SFD,16,172.69,
8891 Sundown Mesa Ln,312-23-0044,Pflugerville,78660,395000,4/5/2025,2200,4900,3,2,2019,1,2,Blackhawk,DR Horton,2200,SFD,28,179.55,
701 Crystal Falls Pkwy,312-24-0003,Leander,78641,615000,2/22/2025,3400,7300,4,3.5,2022,2,2,Crystal Falls,Scott Felder,Presidio,SFD,10,180.88,
1402 Running Doe Ln,312-24-0067,Leander,78641,580000,3/28/2025,3200,6700,4,3,2021,2,2,Crystal Falls,Milestone Community,Caldwell,SFD,13,181.25,
